title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
באבא גאקו - בורקס טורקי,4.9,38,HaRav Uziel St 2,Shlomi,,IL,https://www.facebook.com/babajako.shlomi?mibextid=LQQJ4d,+972 76-861-3159,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=%D7%91%D7%90%D7%91%D7%90%20%D7%92%D7%90%D7%A7%D7%95%20-%20%D7%91%D7%95%D7%A8%D7%A7%D7%A1%20%D7%98%D7%95%D7%A8%D7%A7%D7%99&query_place_id=ChIJ12nQ0LvTHRURzc3S1Bow0Kg
Doctor Sushi Nahariya סושי נהריה,4.8,30,Wolfson St 52,Nahariyya,,IL,http://marea.pro/sushi,+972 52-367-0815,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=Doctor%20Sushi%20Nahariya%20%D7%A1%D7%95%D7%A9%D7%99%20%D7%A0%D7%94%D7%A8%D7%99%D7%94&query_place_id=ChIJo-oyx5HPHRURzqHxSHNBYdM
"אוסול - פלאפל, חומוס פול (סניף שלומי)",4.5,340,מסעף שלומי מערב,Shlomi,,IL,https://israelbusinessguide.com/catalog/shlomi/falafel_humus_--____/,+972 4-779-2909,Falafel restaurant,https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%A1%D7%95%D7%9C%20-%20%D7%A4%D7%9C%D7%90%D7%A4%D7%9C%2C%20%D7%97%D7%95%D7%9E%D7%95%D7%A1%20%D7%A4%D7%95%D7%9C%20(%D7%A1%D7%A0%D7%99%D7%A3%20%D7%A9%D7%9C%D7%95%D7%9E%D7%99)&query_place_id=ChIJSY9A4yzTHRURhsZzFaoHV_U
HaTsuk Restaurant,4.1,1879,,Rosh HaNikra,,IL,https://hatzuk.co.il/,+972 4-601-6849,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=HaTsuk%20Restaurant&query_place_id=ChIJfY0ALHDRHRURaVMSQW1SB98
Pizza Bar fornetto,4.5,758,תחנת דלק דור אלון,Gesher HaZiv,,IL,http://fornetto.co.il/,+972 4-900-1400,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Pizza%20Bar%20fornetto&query_place_id=ChIJATLeOufRHRUR6Oaa2xmZN18
פלאפל איל,4.7,167,Ha-Hagana St 20,Nahariyya,,IL,https://israelbusinessguide.com/catalog/naariya/falafel__/,,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%90%D7%A4%D7%9C%20%D7%90%D7%99%D7%9C&query_place_id=ChIJYVtw-UbOHRURVFWn1vC59ZA
Prestige Restaurant,3.6,176,Derech Ben Gurion 61-67,Bat Yam,,IL,https://israelbusinessguide.com/catalog/bat-yam/prestij_russkiy_restoran/,+972 52-267-2664,Restaurant,https://www.google.com/maps/search/?api=1&query=Prestige%20Restaurant&query_place_id=ChIJh9pUDxizAhURAfrPOymLKjs
Abu Nassar,4.2,2465,Kidron St 34,Tel Aviv-Yafo,,IL,http://abunassarhinnawi.rest.co.il/,+972 3-506-7132,Family restaurant,https://www.google.com/maps/search/?api=1&query=Abu%20Nassar&query_place_id=ChIJxZcYCTSzAhURXRl2Z5-cZuA
Gorilla,3.8,2759,Derech Ben Gurion 81,Bat Yam,,IL,https://www.gorillacafe.co.il/,+972 77-410-1422,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=Gorilla&query_place_id=ChIJzQSaiRmzAhURBuehk_bH8oA
שווארמה בינו,3.3,112,David Razi'el St 29,Tel Aviv-Yafo,,IL,https://israelbusinessguide.com/catalog/tel-aviv/shawarma__/,+972 3-682-2842,Gyro restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94%20%D7%91%D7%99%D7%A0%D7%95&query_place_id=ChIJK6miv75MHRURyqc2wH4rDsM
